"Full_Address","latitude","longitude"
"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",32.8881922,-90.43226
"1001 IND US TRIAL RD, PASCAGOULA, MS 39581",NA,NA
"2910 COUNTY RD 501, RIPLEY, MS 38663",NA,NA
"212 IND US TRIAL PARK RD -, STARKVILLE, MS 39759",NA,NA
"1242 LANGLEY AVENUE, JACKSON, MS 39204",32.2862807,-90.195785
"2377 HOLSTON ROAD, COMO, MS 38619",NA,NA
"2377 HOLSTON ROAD -, COMO, MS 38619",NA,NA
"6934 HWY 49 N, HATTIESBURG, MS 39402",NA,NA
"6934 HWY 49 N -, HATTIESBURG, MS 39402",NA,NA
"2840 W NORTHSIDE DR, JACKSON, MS 39213",32.3558988,-90.2208642
"2840 W NORTHSIDE DR -, JACKSON, MS 39213",32.3558988,-90.2208642
"1650 JOHN STREET EXT, PRENTISS, MS 39474",NA,NA
"3975 BUFFALO RD, WOODVILLE, MS 39669",NA,NA
"4554 STATE HWY 12 E -, BELZONI, MS 39038",NA,NA
"1665 S VETERANS BLVD, TUPELO, MS 38804",34.2325409,-88.6848502
"154 LIPFORD RD, VERONA, MS 38879",NA,NA
"154 LIPFORD RD -, VERONA, MS 38879",NA,NA
"976 HWY 45, BALDWYN, MS 38824",NA,NA
"1124 N 2ND ST, BALDWYN, MS 38824",34.5270062,-88.6294002
"485 INDUSTRIAL DR, COLDWATER, MS 38618",NA,NA
"540 FORD AVE, JACKSON, MS 39209",32.3315238,-90.2343477
"540 FORD AVE -, JACKSON, MS 39209",32.3315238,-90.2343477
"112 BRYAN BOULEVARD, SHANNON, MS 38868",NA,NA
"112 BRYAN BLVD, SHANNON, MS 38868",NA,NA
"112 BRYAN BLVD, TUPELO, MS 38868",NA,NA
"157 BUCK CREEK RD, NEW AUGUSTA, MS 39462",NA,NA
"71 GEORGIA PACIFIC RD, BAY SPRINGS, MS 39422",31.958055,-89.2808958
"SANDIFER HWY 5 MILES N OF MONTICELLO, MONTICELLO, MS 39654",NA,NA
"SANDIFER HWY 5 MILES N OF MONTICELLO -, MONTICELLO, MS 39654",NA,NA
"604 NA SANDIFER HWY, MONTICELLO, MS 39654",NA,NA
"105 SCR 25, TAYLORSVILLE, MS 39168",NA,NA
"700 W RAILROAD AVE, GLOSTER, MS 39638",31.192715,-91.0265294
"1947 AIRPORT ROAD, COLUMBUS, MS 39701",NA,NA
"111 BOYCE ST, BROOKHAVEN, MS 39601",31.597862,-90.4352445
"415 PERSHING AVE, INDIANOLA, MS 38751",33.4470108,-90.645408
"415 PERSHING AVE -, INDIANOLA, MS 38751",33.4470108,-90.645408
"12351 GLASCOCK DR, GULFPORT, MS 39503",30.4284171,-89.0436235
"101 AIRPORT RD, STARKVILLE, MS 39759",33.445354,-88.84531
"10121 SOUTHPARK DR, GULFPORT, MS 39503",30.4315839,-89.0349067
"10121 SOUTHPARK DR -, GULFPORT, MS 39503",30.4315839,-89.0349067
"12010 HIGHWAY 603, BAY SAINT LOUIS, MS 39520",NA,NA
"15881 HWY 4 E, RIPLEY, MS 38663",NA,NA
"496 NAT G TROUTT RD, ELLIOTT, MS 38926",33.6914228,-89.7433346
"4280 RIFLE RANGE RD, VICKSBURG, MS 39180",32.3042302,-90.901228
"115 OLD HIGHWAY 11, LUMBERTON, MS 39455",31.0102938,-89.429432
"8601 HACKS CROSS RD, OLIVE BRANCH, MS 38654",34.9870998,-89.7953888
"10115 LORRAINE RD, GULFPORT, MS 39503",30.4402064,-89.0309497
"55001 U.S. HWY 82 W, ITTA BENA, MS 38941",NA,NA
"301 INDUSTRIAL PARK RD, BOONEVILLE, MS 38829",34.673895,-88.550194
"301 INDUSTRIAL PARK RD -, BOONEVILLE, MS 38829",34.673895,-88.550194
"11110 AIRPORT RD, OLIVE BRANCH, MS 38654",34.9798942,-89.7936234
"3301 ADAMS FARM ROAD, BELDEN, MS 38826",NA,NA
"1002 HUNT STREET, PICAYUNE, MS 39466",30.5170408,-89.6851472
"627 HOOD RD, HATTIESBURG, MS 39401",31.284791,-89.2627967
"420 E OAK ST -, FOREST, MS 39074",32.3605808,-89.4717417
"8 COMMERCE DR, BAY SPRINGS, MS 39422",32.0121666,-89.2862809
"105 HOMAN RD, FULTON, MS 38843",NA,NA
"105 HOMAN RD -, FULTON, MS 38843",NA,NA
"1945 S FIRST ST, WIGGINS, MS 39577",NA,NA
"1945 S FIRST ST -, WIGGINS, MS 39577",NA,NA
"224 DELTA PINE RD, BEAUMONT, MS 39423",31.1780083,-88.9222605
"915 INDUSTRIAL PARK RD, WAYNESBORO, MS 39367",31.6534122,-88.6343828
"HWY 43 N, SILVER CREEK, MS 39663",31.6049065,-90.0076604
"1520 HWY 11 N, ELLISVILLE, MS 39437",NA,NA
"1520 HWY 11 N -, ELLISVILLE, MS 39437",NA,NA
"580 EASTVIEW DR, SANDERSVILLE, MS 39443",NA,NA
"580 EASTVIEW DR -, SANDERSVILLE, MS 39443",NA,NA
"3225 PENDORF RD, LAUREL, MS 39441",NA,NA
"3225 PENDORF RD -, LAUREL, MS 39441",NA,NA
"HWY 11 N, SANDERSVILLE, MS 39477",31.8069142,-89.0107381
"222 LANEY RD, SHANNON, MS 38868",NA,NA
"122 SOUTH ST, SHANNON, MS 38868",34.1154892,-88.7113707
"415 DEVAUGHN RD, MANTACHIE, MS 38855",34.3173807,-88.5046916
"1 BAUHAUS DR, SALTILLO, MS 38866",34.3652744,-88.7043787
"781 COUNTY ROAD 549, RIPLEY, MS 38663",NA,NA
"781 CR-549, RIPLEY, MS 38663",NA,NA
"340 LITTLEFIELD ST, PONTOTOC, MS 38863",34.2680617,-89.0109705
"1000 JERRY ST PE` HWY, PASCAGOULA, MS 39568",30.350231,-88.577822
"1124 N 2ND ST -, BALDWYN, MS 38824",34.5270062,-88.6294002
"71 GEORGIA PACIFIC ROAD, BAY SPRINGS, MS 39422",31.958055,-89.2808958
"11042 WILDWOOD DR, OLIVE BRANCH, MS 38654",34.9918429,-89.7948995
"3737 HWY 3 N, REDWOOD, MS 39156",NA,NA
"3737 HWY 3 N -, REDWOOD, MS 39156",NA,NA
"1110 BANKHEAD AVE, AMORY, MS 38821",33.9853353,-88.4804403
"10420 DESOTO RD, OLIVE BRANCH, MS 38654",34.976942,-89.805946
"1730 HIGHWAY 80, VICKSBURG, MS 39180",NA,NA
"109 TYLER DR, CANTON, MS 39046",NA,NA
"109 TYLER DR -, CANTON, MS 39046",NA,NA
"W FRONTAGE RD I-55 S, BYRAM, MS 39272",NA,NA
"W FRONTAGE RD I-55 S -, BYRAM, MS 39272",NA,NA
"501 E MARK DR, BRANDON, MS 39042",32.2766026,-90.0037216
"501 E MARK DR -, BRANDON, MS 39042",32.2766026,-90.0037216
"224 R US SELL DR, WAYNESBORO, MS 39367",NA,NA
"306 EASTMAN, GREENWOOD, MS 38930",33.4978483,-90.2007977
"77 ACADEMY DR, HATTIESBURG, MS 39401",31.2730614,-89.2580387
"17425 OKAHOMA ST, COFFEEVILLE, MS 38922",NA,NA
"435 CHURCH ROAD, MADISON, MS 39110",32.5316735,-90.0912715
"10930 DARRACOTT RD, ABERDEEN, MS 39730",33.803395,-88.5424581
